OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,City,State,ZipCode,Latitude,Longitude,Address,TotalGHGEmissions,GHGEmissionsIntensity,PropertyGFATotal_calc,BuildingAge,MeanGFAperFloor,ParkingGFARatio,Certified,CertifiedPreviousYear,NbYearsCertified,SteamUse(ratio),Electricity(ratio),NaturalGas(ratio),OtherFuelUse(ratio),MainEnergy,SteamUse(bins),Electricity(bins),NaturalGas(bins),OtherFuelUse(bins),EnergyProfile,ExtsurfVolRatio,SiteEnergyUseWN(kBtu)_log,TotalGHGEmissions_log
545,2015,NonResidential,"Distribution Center
",GLACIER NORTHWEST,2,GREATER DUWAMISH,1969,1.0,1.0,57540,0,57540.0,"('Distribution Center',)",Distribution Center,57540.0,Inutilisable,0.0,Inutilisable,0.0,[],29.0,32.7,32.7,89.2,89.2,1879041.0,1878979.0,0.0,442713.0,1510598.0,3684.0,368443.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98134.0,47.54621444,-122.334819,6335 1ST AVE S,30.1,0.41,57540,46,28770.0,0.0,False,False,0,0.0,0.803919659017552,0.19608034098244795,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.13469362290914072,14.446239102175618,3.40452517175483
130,2015,SPS-District K-12,K-12 School,MCCLURE MIDDLE (SPS-DISTRICT),7,MAGNOLIA / QUEEN ANNE,1964,1.0,2.0,93218,0,93218.0,"('K-12 School',)",K-12 School,93218.0,Inutilisable,0.0,Inutilisable,0.0,[],84.0,33.0,39.9,66.6,73.9,3072658.0,3718511.0,0.0,417995.0,1426258.0,16464.0,1646400.0,0.0,True,,Compliant,Normal,SEATTLE,WA,98119.0,47.6367344,-122.3589452,1915 1ST AVE W,97.38,0.98,93218,51,31072.666666666668,0.0,False,False,0,0.0,0.46417726932187053,0.5358227306781295,0.0,NaturalGas,(s),e,n,(o),(s)en(o),0.0967659671368058,15.12883387730318,4.578620850754555
216,2015,SPS-District K-12,K-12 School,RAINIER BEACH HIGH SCHOOL (SPS-DISTRICT),2,SOUTHEAST,1960,1.0,2.0,184125,0,184125.0,"('K-12 School',)",K-12 School,184125.0,Inutilisable,0.0,Inutilisable,0.0,[],89.0,43.7,55.9,78.5,91.4,8037407.0,10298198.0,0.0,843226.0,2877207.0,51602.0,5160200.0,0.0,True,,Compliant,Normal,SEATTLE,WA,98118.0,47.52383423,-122.2660141,8815 SEWARD PARK AVE S,294.12,1.53,184125,55,61375.0,0.0,False,False,0,0.0,0.3579770192053233,0.6420229807946767,0.0,NaturalGas,(s),e,n,(o),(s)en(o),0.09022004770090909,16.147479486437764,5.683987847328021
560,2015,NonResidential,Non-Refrigerated Warehouse,EVERGREEN WHLSLE FLORIST (DEMOLISHED),7,LAKE UNION,1955,1.0,1.0,66968,0,66968.0,"('nan',)",Aucune information,54325.333333333336,Inutilisable,0.0,Inutilisable,0.0,[],1.0,23.5,23.5,73.8,73.8,1575646.0,1575581.0,0.0,461096.0,1573323.0,23.0,2323.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98109.0,47.62145274,-122.3311285,1255 HARRISON ST,11.09,0.06,66968,60,33484.0,0.0,False,False,0,0.0,0.9985256840686296,0.0014743159313703714,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.132970666515228,14.27013465110798,2.4060438013622756
31,2015,NonResidential,Other,SEATTLE HONDA,7,DOWNTOWN,1930,1.0,2.0,67224,0,67224.0,"('Automobile Dealership',)",Automobile Dealership,67224.0,Inutilisable,0.0,Inutilisable,0.0,[],,20.7,20.7,64.9,64.9,1388775.0,1388717.0,0.0,407010.0,1388775.0,0.0,0.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98101.0,47.61490582,-122.33040102,1017 OLIVE WAY,9.68,0.06,67224,85,22408.0,0.0,False,False,0,0.0,1.0,0.0,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.10079542702111331,14.143890857277409,2.2700619012884857
433,2015,NonResidential,Retail Store,MACY'S DOWNTOWN,7,DOWNTOWN,1929,1.0,8.0,861702,0,861702.0,"('Other', ' Retail Store')",Retail Store,889981.0,Other,345702.0,Inutilisable,0.0,[],97.0,13.5,13.5,42.0,42.0,16645349.0,16644664.0,0.0,4827938.0,16473608.0,1717.0,171741.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98101.0,47.61148031,-122.3386049,300 PINE ST,123.96,0.06,861702,86,95744.66666666667,0.0,False,False,0,0.0,0.9896823430977626,0.010317656902237377,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.037618505268701405,16.6276002425454,4.819958932919548
394,2015,NonResidential,Large Office,REPUBLICAN BUILDING,7,LAKE UNION,2001,1.0,5.0,176532,70067,106465.0,"('Office', ' Parking')",Office,103494.0,Parking,70067.0,Inutilisable,0.0,[2015],44.0,65.2,65.2,204.6,204.6,6743395.0,6743116.0,0.0,1976294.0,6743395.0,0.0,0.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98109.0,47.62347121,-122.32929694,501 EASTLAKE AVE E,47.01,0.1,176532,14,17744.166666666668,0.3969082092765051,False,False,1,0.0,1.0,0.0,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.06035678733281974,15.724032690594107,3.850360345036039
121,2015,NonResidential,Small- and Mid-Sized Office,THE 2100 BUILDING,3,SOUTHEAST,2003,1.0,3.0,99433,35752,63681.0,"('Office', ' Parking')",Office,63681.0,Parking,35752.0,Inutilisable,0.0,[],71.0,69.7,72.9,218.9,228.8,4439217.0,4640342.0,0.0,1301006.0,4439217.0,0.0,0.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98144.0,47.58406769,-122.3012707,2100 24TH AVE S,30.95,0.12,99433,12,15920.25,0.35955869781662025,False,False,0,0.0,1.0,0.0,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.0809258037337499,15.35029862838277,3.432372999130605
318,2015,NonResidential,Other,PIER 54  IVARS ACRES OF CLAMS,7,DOWNTOWN,1900,1.0,1.0,62900,0,62900.0,"('Other', ' Restaurant', ' Retail Store')",Other,42695.0,Restaurant,20525.0,Retail Store,3031.0,[],,96.1,96.1,187.8,187.8,6366922.0,6366808.0,0.0,807538.0,2755434.0,36115.0,3611488.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98104.0,47.60411925,-122.3396021,1003 ALASKAN WAY,211.01,3.17,62900,115,31450.0,0.0,False,False,0,0.0,0.4327733243787186,0.5672266756212814,0.0,NaturalGas,(s),e,n,(o),(s)en(o),0.13366646608849514,15.666608803055235,5.3519055257179655
714,2015,NonResidential,Large Office,MARITIME BUILDING,7,DOWNTOWN,1911,1.0,5.0,192960,32160,160800.0,"('Office', ' Parking')",Office,135173.0,Parking,32000.0,Inutilisable,0.0,[],95.0,49.3,57.1,111.2,118.3,6670103.0,7723851.0,3054035.0,1059765.0,3616068.0,0.0,0.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98104.0,47.60373017,-122.3373671,911 WESTERN AVE,260.94,1.27,192960,104,26800.0,0.16666666666666666,False,False,0,0.4578692412995721,0.5421307587004278,0.0,0.0,Electricity,s,e,(n),(o),se(n)(o),0.05934202387431057,15.859823631821433,5.564290495837602
